#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
receive [рэ'сив][ри'си:в]|получать,получить|ресивер / receive рисиив ресеиве / через РЕСИВер *получаем сигнал / агРИСИВные бандиты *получают пулю бесплатно и вне очереди|
 receipt [ри'си:т]|квитанция|получение / рецепт / receipt рисит рецеипт / *получение *квитанции *РЕЦЕПТ и *чек / РЕЦЕПТоры|
 recipient [рэ'сипиэнт][ри'сипиэнт]|получатель||
recipe [ресэпи][ресипи]|рецепт|+т %% / recipe ресипи реципе / (т-добавили) *РЕЦЕПт (похоже)|
record [ри'корд][реко:д]|записывать,запись / 2,записывать(ри'ко:д)|рекорд / record рикорд рекорд / мой *РЕКОРД *записали в книгу РЕКОРДов гинеса, ура|
recruit [ри'кру:т]|нанимать,набирать,вербовать|рекрут / recruit рикрут рекруит / *нанимать и *вербовать РЕКРУТов / *новобранец *призывник|
 recruitment [ри'кру:тмэнт]|вербовка,набор-персонала||
rectangle [ректЭНгэл][рек,тЭНгл]|прямоугольник|direct+угол % / rectangle ректэнгэл ректангле / *прямоугольник =прямой(di)rect + угол(angle)|
 rectangular [рек'тЭНгьэлэр][рек'тЭНгьюлэ]|прямоугольный||
recursion [рекурсион]|рекурсия|%|
 recur [ри'кэр][ри'кэ:]|повторяться,возвращаться|в рекурсии / recur рикёр рекур / *повторяться и *возвращаться при РЕКУРсии|
 recurrent [ри'кэрэнт][ри'кАрэнт]|повторяющийся,возвратный|рекурентный|
 recurrence [ри'кэрэнс][ри'кАрэнс]|рецидив,повторение||
reduce [рэ'дус][ри'дус][ри'дью:с]|уменьшать,снижать|редуктор / reduce ридус редуце / *снижать *уменьшить обороты через РЕДУКтор / РЕДИС *уменьшает риск заболеваний от редиски|
 reduction [рэ'дэкшэн][ри'дэкшэн][ри'дАкшэн]|снижение,сокращение||
refer [рэ'фэр][ри'фэр][ри'фэ:]|ссылаться,сослаться,отослать|рефка реферат / refer рифёр рефер / РЕФЕРальная *ссылка *ссылается / РЕФЕРат *отослали по почте|
 reference [рефэрэнс][рефрэнс]|ссылка,рекомендация|reference рефэрэнс референце / секретарь РЕФЕРЕнт *ссылается что он занят и дает тебе *справочную-информацию за взятку|
refine [рэ'фаин][ри'фаин]|очищать,усовершенствовать|рафинир масло / refine рифайн рефине / *очищать РАФИНированное масло / РАФИНад *очищенный сахар от песка *усовершенствуют (fine файн утонченный изящный)|
