#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
captive[кЭптив]|пленник|~КАПиТуляцИя *пленникоВ/туземцы КОПТИли *пленникоВ и ели с апетитом/КАПИТана *взяли-в-плен пираты 20го Века (кино)| captivate[кЭпти,веит]пленять//captivity[кЭп'тивэти][кЭп'тивити]плен,неволя/-ty сущ// capture[кЭпчэР]захватывать,захватить после ~КАПиТУляции гоРод/КАПитан ЧЕРномазых *пленен бледнолицыми/КЕПку ЧЕРную *захватил кочегар/КАПЧА роботов *захватила интернет// recapture[ри'кЭпчэр][ри:'кЭпчэ]вернуть,вернуть-себе рекапчу2 на сайт (переходы, велосипеды,светофоры 10 мин мучения)
carbohydrate[карбоу'хаи,дреит][ка:бэу'хаидреит]|углевод|это КАРБО-ГИДРИД =уголь+вода|
carbon[каРбэн]|углерод,уголь,графит|*углерод с натрием это КАРБОНад натрия Na2CO3 - обычная сода|
carcass[каРкэс]|туша|*КАРКАС % *тело *скелет|
cardboard[каРд,боРд]|картон|=карта + доска/КАРДеры воруют *картон/мы взяли *КАРТон на БОРТ лодки из *картона|
career[кэр'ир][кэ'риэ]|карьера|%% =тот кто *интересуется и *переживает о работе| care[кер][кеэ]забота,уход/*переживать *интересоваться/КАРЕфан *заботится о КОРЕшах и фанах/КЕм проявлена *забота?//cure~кьюр лечить//careful[керфэл][кеэфул]осторожный карефан ел картофан//carefully~керфэли *осторожно *тщательно ездит на КАРЕте ФУЛ(fool дурак)/ *осторожный КАРЕФан вышел на УЛицу ночью с фонариком// careless[керлэс][кеэлис]беспечный,неосторожный КАРЛСон вернулся// carefree[кер,фри][кеэфри:]беззаботный/+свободный// caress[кэ'рес]ласкать,гладить/*ласка,певица с филатовым поёт/*гладить КАРИеЗ - болит зуб
cargo[кар,гоу][ка:гэу]|груз,грузовой|старая КАРГА *грузит тебя по самое нихочу|
carpenter[карпэнтэр][ка:пинтэ]|плотник|+папа КАРло нашел ПЕНь и сделал буратино, купил компьюТЕР и отправил в школу/*плотник рыба КАРП играет на компе и постоянно жмёт ENTER| carpentry[карпэнтри][ка:пинтри]столярное-дело,плотничье-дело
carpet[карпэт][ка:пит]|ковер|КАРПЕТь над *ковром вышивая узоры/*ковер самолет после КАПИТального ремонта выбросили на помойку/ты читал КАПИТал маркса и уснул на *ковре без задних ног, снились кошмары/кровь с потолка КАПаЕТ на мой *ковер, убили КАРлика ПЕТю сверху|
carrot[кЭрэт][керэт]|морковь|+с КАРОТином полезная для КАРАТистов|
carry[кЭри][кери]|нести,носить|КОРИдор = *нести + дверь(door~дор)/*несут по КОРИдору тебя вперёд ногами, аминь/КЭтРИн *перевозила крокодила в трусах| carriage[кЭридж][керэдж]перевозка каретка тележка коляска вагон//car~каР машина// carrier[кЭриэР][кериэр]перевозчик,носильщик из карьера (=porter)// carry-out[кЭри-аут]выполнять,выполнить =нести+вон
