#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
neat [ни:т]|аккуратный,опрятный|с ниточки, вязать / neat нит неат / *опрятный *аккуратно одет с НИТочки / НИТку *аккуратно в иголку вдевай с закрытыми глазами|
necessary [несэ,сери][несисэри]|необходимый|неси серы и сажи * порох и / necessary несэсери несессари / *необходимо носить НЕСЕрьезные СЕРьгИ (чтобы не оторвали вместе с ушами)|
 unnecessary [эн'несэ,сери][Ан'несисэри]|ненужный||
 necessity [нэ'сесэти][нэ'сесити][ни'сесити]|необходимость||
neck [нек]|шея|поник / knack нэк кнацк / НЕКрасов *умело мыл шею(neck нек) и немытую россию / neck нек нецк / НЕКрасов мыл *шею в немытой россии / разрезал(nick ник) *шею и поНИК|
 necklace [неклэс][неклис]|ожерелье|necklace неклис нецкласе / *ожерелье = шея(нек)+шнурок(лейс)|
neither [наиЗэр][ниЗэр][наиЗэ]|ни-один,ни-один-из-двух / 2,тоже-не|айзер-один-из-двух|
 neither-nor [наиЗэ-но:]|ни-ни,ни||
nephew [нефью][невью]|племянник|не вью гнезда|
nest [нест]|гнездо,гнездиться|нести яйца / nest нест / наседка любит НЕСТись в *гнезде / логотип фирмы НЕСТле - птенцы в *гнезде|
network [нет,Вэрк][нетВэ:к]|сеть| работа|
never [невэр][невэ]|никогда,так-и-не|никогда / евер-всегда / в НЕВАде *никогда не был вадя (never невэр) / ever евэр евер / *всегда дВЕРь закрывай за собой (never невэр никогда) / never невэр / НЕВЕРь *никогда никому (ever евэр вcегда)|
 nevertheless [невэрЗэ'лес][невэЗэ'лес]|тем-не-менее||
newcomer [ну,кэмэр][нью:,кАмэ]|новичок|новый+приходящий|
newspaper [нуз,пеипэр][нью:з,пеипэ]|газета|новости+бумага / newspaper ньюспейпэр невспапер / *газета это news(новости) + paper(бумага)|
niece [ни:с]|племянница|ниская на ниссане к сане / найс-приятный / nice найс нисе / *хорошая *приятная племянница(niece нис)(айс-лед айз-глаза) / niece нис ниесе / НИЗкая *племянница ездит на НИСсане к сане пушкину (невью-племяш)|
