g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
disappears [дисэ'пирз][дисэ'пирз] | исчезает
1664. shout [шаут] | крик
shouted [шаутид] | крикнул
shouting [шаутиН] | кричать
shouts [шаутс] | крики
1665. yard [йард] | двор
yards [йардз] | ярды
1666. constant [канстэнт] | константа
constants [канстэнтс] | константы
1667. significantly [сиг'нификэнтли] | значительно
1668. hill [хил] | холм
hilled [??] | холмистый
hills [хилз] | холмы
1669. considerable [кэн'сидэрэбэл] | значительный
1670. instruction [ин'стрэкшэн] | инструкция
instructions [ин'стрэкшэнз] | инструкции
1671. intelligence [ин'телэджэнс] | интеллект
intelligences [??] | интеллекты
1672. ideal [аи'дил] | идеал
ideals [аи'дилз] | идеалы
1673. folk [фоук] | народный
folks [фоукс] | близкие
1674. surely [шурли] | конечно
1675. guard [гард] | гвардия
guarded [гардэд][гардид] | охраняемый
guarding [гардиН] | охрана
guards [гардз] | охранники
1676. cat [кЭт] | кот
cats [кЭтс] | кошки
1677. somewhat [сэм'Вэт][сэмх'Вэт] | несколько
1678. kiss [кис] | поцелуй
kissed [кист] | поцеловал
kisses [кисэз][кисиз] | поцелуи
kissing [кисиН] | целоваться
1679. presentation [презэн'теишэн] | презентация
presentations [презэн'теишэнз] | презентации
1680. joint [джоинт] | сустав
jointed [джоинид][джоинтэд][джоинтид] | сочлененный
jointing [??] | соединение
joints [джоинтс] | суставы
1681. compete [кэм'пит] | соревноваться
competed [кэм'питид] | соревновались
competes [кэм'питс] | конкурирует
competing [кэм'питиН] | конкурирующий
1682. poll [поул] | опрос
polled [поулд] | опрошенный
polling [поулиН] | опрос
polls [поулз] | опросы
1683. weak [Вик] | слабый
weaker [Викэр] | слабее
weakest [Викэст] | самый-слабый
1684. faith [феиС] | вера
faiths [феиСс] | веры
1685. reduction [рэ'дэкшэн][ри'дэкшэн] | сокращение
reductions [ри'дэкшэнз] | сокращения
1686. reserve [ри'зэрв][ри'зэрв] | резерв
reserved [ри'зэрвд][ри'зэрвд] | сдержанный
reserves [ри'зэрвз][ри'зэрвз] | резервы
reserving [ри'зэрвиН][ри'зэрвиН] | резервирование
1687. complaint [кэм'плеинт] | жалоба
complaints [кэм'плеинтс] | жалобы
1688. bore [бор] | отверстие
bored [борд] | скучающий
bores [борз] | скулит
boring [бориН] | скучный
1689. mission [мишэн] | миссия
missions [мишэнз] | миссии
1690. somehow [сэм,хау] | как-то
1691. tone [тоун] | тон
toned [тоунд] | тонированный
tones [тоунз] | тоны
toning [тоуниН] | тонирование
1692. neighborhood [неибэр,худ] | район
neighborhoods [неибэр,худз] | кварталы
neighbourhood [неибэр,худ] | район
neighbourhoods [неибэр,худз] | кварталы
1693. passenger [пЭсэнджэр] | пассажир
passengers [пЭсэнджэрз] | пассажиры
1694. justice [джэстэс][джэстис] | правосудие
justices [джэстэсэз][джэстисиз] | судьи
1695. phase [феиз] | фаза
phased [феизд] | поэтапный
phases [феизэз][феизиз] | фазы
phasing [феизиН] | фазирование
1696. thin [Син] | тонкий
thinned [Синд] | истонченный
thinner [Синэр] | тоньше
thinnest [Синист] | самый-тонкий
thinning [СиниН] | истончение
thins [Синз] | истончается
1697. rush [рэш] | спешка
rushed [рэшт] | бросился
rushes [рэшэз][рэшиз] | спешка
rushing [рэшиН] | торопится
1698. formal [формэл] | формальный
formals [??] | формальности
1699. religion [ри'лиджэн][ри'лиджэн] | религия
religions [ри'лиджэнз] | религии
1700. employer [ем'плоиэр][им'плоиэр] | работодатель
employers [ем'плоиэрз][им'плоиэрз] | работодатели
1701. reject [риджект][ри'джект] | отклонить
rejected [ри'джектид][ри'джектид] | отклоненный
rejecting [ри'джектиН][ри'джектиН] | отвергая
rejects [риджекс][риджектс][ри'джекс][ри'джектс] | отклоняет
1702. latter [лЭтэр] | последний
1703. plate [плеит] | пластина
plated [плеитид] | покрытый
plates [плеитс] | пластины
plating [плеитиН] | покрытие
1704. ban [бЭн] | запрет
banned [бЭнд] | запрещен
banning [бЭниН] | запрещающий
bans [бЭнз] | запреты
1705. steal [стил] | украсть
stealing [стилиН] | кража
steals [стилз] | крадет
stole [стоул] | украл
stolen [стоулэн] | украденный
1706. protest [проу,тест][прэ'тест] | протест
protested [проу,тестид][прэ'тестид] | протестовал
protesting [проу,тестиН][прэ'тестиН] | протестуя
protests [проу,тес][проу,тестс][прэ'тес][прэ'тестс] | протесты
1707. index [индекс] | индекс
indexed [индекст] | индексированный
indexes [индексиз] | индексы
indexing [индексиН] | индексация
indices [индэсиз][инди,сиз] | индексы
1708. sad [сЭд] | грустный
